id;title;content;continent;tags;image_path
11;White ice bear on a ice berg;Europe,an iceberg with a white ice bear and a blue sky,iceberg, ice, white, bear,A detailed 3D render of a location: Europe, iceberg, and bear, amidst snowy mountains. The continents are outlined in white, with the continents forming a map of Europe, icebergs, and bears, creating a realistic representation of the scene. The bear is on the left side of the image, facing to the right, and its arms are outstretched to the right, holding a piece of ice. The bear's head is tilted slightly downward, and it has a,./images/Europe/an iceberg with a white ice bear and a blue sky.jpg,./images/Europe/upscaled_an iceberg with a white ice bear and a blue sky.jpg;Europe;ice berg,ice bear, antartica;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\europe\an iceberg with a white ice bear and a blue sky.jpg
12;ancient roman city;Europe,Ancient Rome with the Caesar walking around and people watching him,caesar, rome, walking,A close-up view of a map of a european, caesar, rome, the map is filled with detailed drawings of buildings and trees. The map is a large, realistic representation of a walking path that leads to a central building, the building on the left has a red roof and a white facade, there are two smaller buildings on either side of it, one on the right has a brown roof and the other on the left has a green roof, both buildings have windows that are open, above the buildings is a blue,./images/Europe/Ancient Rome with the Caesar walking around and people watching him.jpg,./images/Europe/upscaled_Ancient Rome with the Caesar walking around and people watching him.jpg;Europe;ancient rome, antique, city, forum romanum ;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\europe\Ancient Rome with the Caesar walking around and people watching him.jpg
13;market in belgium, belgian;;Europe;market, belgian;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\europe\belgian market in the middle of the city.jpg
14;a castle in france ;a castle in france;Europe;castle in france;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\europe\castle.jpg
15;lego land ;Lego land ;Europe;lego land, bricks;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\europe\Legoland2 with LEGO bricks on a sunny day.jpg
16;A beach and a shipwreck in Greece ;a shipxreck and a beach in Greece. Blue sky, blue sea, summer;Europe;ship wreck, blue sea, veach, Greece, summer ;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\Europe\shipwreck.webp
17;Cats ;Cats ;Europe;cats;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\europe\two cats drinking milk.jpg
18;Cars in the big city;prithivMLmodsNorth-America,a panoramic view of a big city with cars , big, panoramic,A high-angle view of a large location in North America, the area is covered with numerous cars. There are two large red and white toy cars on the left side of the image, one small toy car on the right side of the image, and another large toy car on the right side of the image. The big toy car is facing towards the right side of the image, it is also facing toward the left side of the image. There is a large gray cement block at the bottom of the image that extends from the left side of the,./images/North-America/a panoramic view of a big store of toys.jpg,./images/North-America/upscaled_a panoramic view of a big store of toys.jpg;North-America;big city, new york, cars;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\North-America\a panoramic view of a big store of toys.jpg
19;A tiger in the rainforest;A tiger in the rainforest;South-America;tiger, rain forest, brazil, tree;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\South-America\a tiger in a rainforest in Brazil.jpg
20;Tortoises in galapagos;;South-America;tortoises, galapagos;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\South-America\Galapagos islands with giant tortoises and marine iguanas.jpg
21;Machu Picchu;South-America,the breathtaking views of historical Incan site of Machu Picchu,incan, picchu, machu, historical, breathtaking,A detailed oil painting of South America, Picchu, and Machu, atop a hill, with a winding river flowing through the center. The foreground is filled with green grass and small trees, while the background features a distant mountain range. The sky is a deep blue, with fluffy white clouds scattered across it. The scene is a realistic depiction of a historical site, with a sense of depth and perspective, capturing the essence of South America and the surrounding landscape.,./images/South-America/the breathtaking views of historical Incan site of Machu Picchu.jpg,./images/South-America/upscaled_the breathtaking views of historical Incan site of Machu Picchu.jpg;South-America;Machu picchu;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\South-America\the breathtaking views of historical Incan site of Machu Picchu.jpg
22;A tiger in the rainforest;A tiger in the rainforest;South-America;tiger, rain forest, brazil, tree;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\South-America\tiger in rainforest.jpg
23;dinosaurs in a theme park;dinosaurs in a theme park;South-America;theme park, dinosaurs, South america;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\South-America\dinosaurs.webp
24;a panoramic view on Niagara Falls;Niagara Falls;North-America;Niagara Falls;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\North-America\a view of the niagara falls_360gokaygokay_360PanoImage.webp
25;a panoramic view on canyon;;North-America;canyon;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\North-America\canyon_360gokaygokay_360PanoImage.webp
26;lush tropical rainforest;lush tropical rainforest;South-America;lush tropical rainforest;C:\Users\desle\LOCAL_STUFF\LOC_2S1_005_TEAM_PROJECT\ERGO3_webservice\test_backend\images\South-America\lush tropical rainforest360gokaygokay_360PanoImage.webp
